payment_id,permit_id,citizen_id,amount_php,payment_method,status,transaction_date,reference_number
PAY-2026-BBDAA19F,PERMIT-2026-72AD4674,CIT-000331,3698.57,Over-the-Counter,Completed,2026-04-30T02:29:06,REF0672752088547
PAY-2026-5AA91FF8,PERMIT-2026-E9A1D57C,CIT-000431,5670.8,Over-the-Counter,Completed,2026-03-01T18:13:57,REF4929751702814
PAY-2026-2049239C,PERMIT-2026-0D193E22,CIT-000380,3896.24,Maya,Completed,2025-09-26T21:01:52,REF0693751509398
PAY-2026-82AAF756,PERMIT-2026-E65662BC,CIT-000274,1609.7,Credit Card,Completed,2025-09-29T12:53:28,REF3430187186375
PAY-2026-429492C3,PERMIT-2026-B3035DCC,CIT-000001,8103.24,Debit Card,Completed,2025-12-14T18:49:35,REF9980562656504
PAY-2026-19A595E4,PERMIT-2026-26159AEA,CIT-000480,8247.23,Credit Card,Pending,2025-10-17T03:42:50,REF5547813767426
PAY-2026-1433DE91,PERMIT-2026-25B928EA,CIT-000130,7253.99,GCash,Completed,2026-02-28T01:32:13,REF6299123478519
PAY-2026-0DD79EC0,PERMIT-2026-BC5CB3E5,CIT-000066,2360.67,GCash,Completed,2026-01-20T01:14:39,REF6106462879232
PAY-2026-86823A98,PERMIT-2026-60F22D9F,CIT-000092,7857.52,Bank Transfer,Completed,2026-02-09T11:39:57,REF6487049478730
PAY-2026-2AB38A3D,PERMIT-2026-68FBFCC5,CIT-000421,7602.32,Debit Card,Completed,2025-09-18T08:22:10,REF0244714627301
PAY-2026-C0CD9940,PERMIT-2026-7381DB60,CIT-000271,3993.95,Credit Card,Completed,2025-10-30T13:27:54,REF4719597964715
PAY-2026-BA90DE95,PERMIT-2026-06B6A4FE,CIT-000182,7583.14,Maya,Completed,2026-06-01T10:59:56,REF8904290257252
PAY-2026-192E0B64,PERMIT-2026-F045C09E,CIT-000340,3747.21,Maya,Completed,2026-01-26T19:02:12,REF0456504481832
PAY-2026-E1AB5DE5,PERMIT-2026-B3035DCC,CIT-000001,3579.5,Debit Card,Completed,2025-12-14T05:49:35,REF1928554451895
PAY-2026-0F62D252,PERMIT-2026-837463DD,CIT-000353,4080.33,Credit Card,Completed,2025-11-05T11:05:50,REF2028457652132
PAY-2026-532E6210,PERMIT-2026-F8FE7647,CIT-000213,4629.17,Credit Card,Completed,2025-12-03T03:17:25,REF8338988816711
PAY-2026-6F3B77F3,PERMIT-2026-34A5B97C,CIT-000033,7158.63,Maya,Completed,2025-11-03T04:59:13,REF2075452798524
PAY-2026-0A75D8BC,PERMIT-2026-D77BB5F9,CIT-000142,3149.63,Bank Transfer,Completed,2026-06-27T14:52:42,REF0132234232161
PAY-2026-DE6FD866,PERMIT-2026-AEFAB2FB,CIT-000267,486.14,Debit Card,Completed,2025-10-03T00:36:44,REF1076031089071
PAY-2026-8A696605,PERMIT-2026-9AEB4F7B,CIT-000109,1488.61,Maya,Failed,2026-01-12T03:45:11,REF4014011939325
PAY-2026-177C81D7,PERMIT-2026-FE8D5508,CIT-000188,3666.15,Over-the-Counter,Completed,2026-07-02T16:34:43,REF0124955289389
PAY-2026-7DF5FC1F,PERMIT-2026-06EFB35A,CIT-000310,6421.6,Debit Card,Completed,2025-12-09T23:44:42,REF1190833428013
PAY-2026-4F6A6904,PERMIT-2026-B0DB8251,CIT-000118,1066.27,GCash,Completed,2025-12-22T08:05:56,REF8759271256638
PAY-2026-A943B643,PERMIT-2026-1EDA4439,CIT-000023,3023.41,GCash,Completed,2025-09-24T05:40:35,REF3615171827548
PAY-2026-BF4A7DB7,PERMIT-2026-902B7981,CIT-000416,5813.89,Credit Card,Completed,2025-11-19T08:58:35,REF0157164794738
PAY-2026-8C3DDEE6,PERMIT-2026-12D283BA,CIT-000070,4159.61,Credit Card,Completed,2026-03-24T17:24:23,REF6463175207167
PAY-2026-5E8A2AFA,PERMIT-2026-0B6011B1,CIT-000384,5307.07,Bank Transfer,Completed,2025-12-16T21:32:30,REF8112669121535
PAY-2026-16633877,PERMIT-2026-25B928EA,CIT-000130,6552.18,Credit Card,Refunded,2026-02-27T08:32:13,REF3961367499465
PAY-2026-122017A0,PERMIT-2026-C4F201E7,CIT-000296,7002.09,Maya,Completed,2026-07-06T02:44:41,REF7967842711477
PAY-2026-D244C364,PERMIT-2026-99C523E6,CIT-000214,6249.31,Over-the-Counter,Completed,2026-05-22T22:11:03,REF3201017026952
PAY-2026-B847CBDC,PERMIT-2026-BDC34ACA,CIT-000292,1155.85,Debit Card,Completed,2026-05-04T07:55:35,REF4991187734778
PAY-2026-310CF8B0,PERMIT-2026-42274AC1,CIT-000015,3709.63,Over-the-Counter,Completed,2026-06-23T17:46:40,REF4858800616756
